module,mutant_id,killed_count,killed_by,classification,explanation
template,1340,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1341,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1342,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1343,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1344,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1345,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1346,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1347,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1348,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1349,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1350,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1351,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1352,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1353,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1354,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1355,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1356,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1357,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1358,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1359,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1360,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1361,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1362,3,boofuzz fume scapy,K1_morto_por_trace,"Mutante morto por: boofuzz, fume, scapy."
template,1363,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1364,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1365,3,boofuzz fume scapy,K1_morto_por_trace,"Mutante morto por: boofuzz, fume, scapy."
template,1366,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1367,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
